participant,group,eng_variety,spn_variety,have_ln,aoa,check_pass,check_fails,item,speaker_variety,condition,sentence_type,sentence,correct_response,response,is_correct,rt_raw,trial_n,sentence_dur,rt_adj
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,chilean,match,interrogative-total-yn,Daniel iba a Bolivia,1,1,1,1.271,17,1.06,0.21099999999999985
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-broad-focus_Emilio-ama-la-marcha.wav,peruvian,match,declarative-broad-focus,Emilio ama la marcha,0,0,1,1.602,18,1.44,0.16200000000000014
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,mexican,mismatch,declarative-broad-focus,Mi novio viene del lago,0,0,1,1.318,19,1.14,0.17800000000000016
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,mexican,match,declarative-broad-focus,Ana lleva el abrigo,0,0,1,2.01,20,1.09,0.9199999999999997
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien.wav,puertorican,mismatch,declarative-narrow-focus,El bebe comia muy bien,0,0,1,1.801,21,1.19,0.611
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris.wav,mexican,mismatch,declarative-narrow-focus,La maestra vive en Paris,0,0,1,1.518,22,1.23,0.28800000000000003
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,mexican,mismatch,interrogative-total-yn,Mi novio viene del lago,1,1,1,1.649,23,1.29,0.359
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta.wav,andalusian,mismatch,declarative-broad-focus,Mi madre come la fruta,0,0,1,1.437,24,1.31,0.127
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-narrow-focus_David-leia-el-libro.wav,argentine,match,declarative-narrow-focus,David leia el libro,0,0,1,1.326,25,1.13,0.19600000000000017
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-narrow-focus_Mariano-habla-del-tiempo.wav,puertorican,match,declarative-narrow-focus,Mariano habla del tiempo,0,0,1,1.493,26,1.31,0.18300000000000005
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna.wav,cuban,mismatch,declarative-broad-focus,El hombre mira la luna,0,0,1,1.373,27,1.13,0.2430000000000001
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-broad-focus_Maria-bebe-el-vino.wav,cuban,match,declarative-broad-focus,Maria bebe el vino,0,0,1,1.852,28,1.25,0.6020000000000001
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,cuban,match,interrogative-total-yn,Mariano habla del tiempo,1,1,1,1.523,29,1.44,0.08299999999999996
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio.wav,andalusian,mismatch,interrogative-partial-wh,Por que oia el rio,1,1,1,1.637,30,1.27,0.367
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,argentine,mismatch,declarative-broad-focus,Mi tia odia la lluvia,0,0,1,3.551,31,1.63,1.9210000000000003
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,mexican,match,declarative-broad-focus,Mariano habla del tiempo,0,0,1,1.334,32,1.22,0.1140000000000001
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-broad-focus_Marta-abre-el-regalo.wav,peruvian,match,declarative-broad-focus,Marta abre el regalo,0,0,1,1.521,33,1.46,0.06099999999999994
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,argentine,mismatch,declarative-broad-focus,La maestra vive en Paris,0,0,1,1.642,34,1.43,0.21199999999999997
